Draw Date,Winning Numbers,Mega Ball,Multiplier
2022-05-10,15 19 20 61 70,6,3
2022-05-03,15 19 27 35 57,17,2
2022-04-26,05 07 19 46 69,2,4
2022-04-19,02 09 33 47 53,24,3
2022-04-12,02 08 14 20 31,17,2
2022-04-05,22 43 60 63 64,18,2
2022-03-29,07 22 36 45 47,12,2
2022-03-22,08 15 21 27 61,8,3
2022-03-15,09 14 28 59 60,24,5
2022-03-08,07 18 38 58 64,24,3
2022-03-01,18 22 38 39 50,18,2
2022-02-22,06 17 22 57 62,3,3
2022-02-15,02 04 15 21 63,19,3
2022-02-08,01 17 20 52 54,2,3
2022-02-01,11 24 38 62 66,1,4
2022-01-25,03 12 38 53 58,13,3
2022-01-18,04 19 39 42 52,9,4
2022-01-11,02 03 19 52 58,16,2
2022-01-04,04 06 16 21 22,1,3
2021-12-28,03 05 08 31 38,4,3
2021-12-21,25 31 58 64 67,24,3
2021-12-14,33 35 44 55 69,20,3
2021-12-07,01 07 40 43 68,1,2
2021-11-30,07 08 26 30 39,17,2
2021-11-23,07 24 54 57 58,6,3
2021-11-16,06 22 44 53 65,3,3
2021-11-09,09 14 16 26 49,14,3
2021-11-02,05 10 26 58 65,9,2
2021-10-26,06 14 19 56 62,9,4
2021-10-19,03 12 13 19 52,1,3
2021-10-12,21 26 56 61 65,4,3
2021-10-05,07 11 18 30 36,4,3
2021-09-28,18 30 43 68 69,22,4
2021-09-21,36 41 45 51 56,13,3
2021-09-14,04 13 19 63 64,16,2
2021-09-07,15 17 25 32 53,12,3
2021-08-31,08 14 31 58 68,15,3
2021-08-24,17 18 26 52 67,19,2
2021-08-17,03 06 16 38 56,24,3
2021-08-10,29 45 50 59 62,12,2
2021-08-03,01 09 17 27 34,24,2
2021-07-27,02 35 36 54 64,11,3
2021-07-20,10 26 30 52 57,10,2
2021-07-13,03 10 17 26 55,24,2
2021-07-06,18 47 63 68 69,14,3
2021-06-29,07 38 50 52 69,21,3
2021-06-22,01 26 48 51 59,25,4
2021-06-15,18 22 27 38 52,11,4
2021-06-08,09 22 39 41 54,19,3
2021-06-01,07 11 33 58 63,23,2
2021-05-25,14 21 31 34 54,11,3
2021-05-18,03 05 56 61 66,4,2
2021-05-11,07 08 20 36 39,22,3
2021-05-04,04 27 32 57 63,22,3
2021-04-27,15 22 30 41 42,25,4
2021-04-20,06 23 43 49 52,5,3
2021-04-13,10 15 19 45 68,9,4
2021-04-06,01 19 20 32 42,17,3
2021-03-30,11 37 47 53 56,15,3
2021-03-23,12 23 35 38 55,11,2
2021-03-16,10 41 46 52 69,8,2
2021-03-09,04 33 46 58 65,13,2
2021-03-02,04 08 13 34 64,18,2
2021-02-23,05 07 09 20 57,15,3
2021-02-16,01 36 44 54 66,10,3
2021-02-09,07 18 21 31 40,9,4
2021-02-02,13 37 38 40 67,10,2
2021-01-26,29 49 56 66 67,24,3
2021-01-19,10 19 26 28 50,16,2
2021-01-12,12 14 26 28 33,9,2
2021-01-05,20 43 51 55 57,4,2
2020-12-29,01 31 35 48 62,19,3
2020-12-22,29 53 56 59 67,21,2
2020-12-15,01 10 18 20 46,15,2
2020-12-08,15 19 33 39 68,25,3
2020-12-01,07 33 53 61 65,14,2
2020-11-24,09 15 34 61 64,6,2
2020-11-17,08 13 35 46 68,16,3
2020-11-10,23 45 53 58 62,13,5
2020-11-03,07 31 44 45 55,19,3
2020-10-27,06 13 34 46 62,1,3
2020-10-20,46 54 57 58 66,10,3
2020-10-13,11 44 45 46 70,25,2
2020-10-06,15 16 18 39 59,17,3
2020-09-29,14 39 43 44 67,19,3
2020-09-22,36 43 44 55 68,12,4
2020-09-15,25 28 38 59 62,22,4
2020-09-08,07 10 15 31 57,21,2
2020-09-01,15 25 26 38 47,22,4
2020-08-25,08 10 15 17 57,12,3
2020-08-18,04 18 26 27 58,23,4
2020-08-11,08 22 29 43 56,9,4
2020-08-04,02 22 30 42 62,20,3
2020-07-28,17 20 27 31 34,19,4
2020-07-21,14 25 26 41 43,15,3
2020-07-14,06 26 55 56 64,22,4
2020-07-07,16 20 25 30 43,18,3
2020-06-30,09 16 29 37 53,11,2
2020-06-23,06 20 37 40 48,15,3
2020-06-16,21 23 33 35 42,6,3
